share_name                     ,number,first_date,last_date
GBS SOFTWARE AG                ,A14KR2.ETR,13.11.2020,23.04.2021
GEA GROUP AG                   ,660200.FFM,13.11.2020,23.04.2021
GEA GROUP AG                   ,660200.ETR,13.11.2020,23.04.2021
GEBERIT AG NA DISP. SF-10      ,A0MQWG.FFM,09.08.2019,01.01.2019
GEBERIT AG NA DISP. SF-10      ,A0MQWG.ETR,28.06.2019,28.06.2019
GENERAL MOTORS     DL-*01      ,A1C9CM.FFM,13.11.2020,23.04.2021
GENERAL MOTORS     DL-*01      ,A1C9CM.ETR,13.11.2020,23.04.2021
GENERALI             EO 1      ,850312.FFM,13.11.2020,23.04.2021
GENERALI             EO 1      ,850312.ETR,13.11.2020,23.04.2021
GENL DYNAMICS CORP.  DL 1      ,851143.ETR,13.11.2020,23.04.2021
GENL DYNAMICS CORP.  DL 1      ,851143.FFM,13.11.2020,23.04.2021
GENL EL. CO.      DL -*06      ,851144.FFM,13.11.2020,23.04.2021
GENL EL. CO.      DL -*06      ,851144.ETR,13.11.2020,23.04.2021
GENL MILLS        DL -*10      ,853862.FFM,13.11.2020,23.04.2021
GENL MILLS        DL -*10      ,853862.ETR,13.11.2020,23.04.2021
GENTEX CORP.       DL-*06      ,868891.ETR,26.01.2021,23.04.2021
GENTEX CORP.       DL-*06      ,868891.FFM,27.01.2021,23.04.2021
GENUINE PARTS        DL 1      ,858406.ETR,15.01.2021,23.04.2021
GENUINE PARTS        DL 1      ,858406.FFM,15.01.2021,23.04.2021
GERATHERM O.N.                 ,549562.FFM,13.11.2020,23.04.2021
GERATHERM O.N.                 ,549562.ETR,13.11.2020,23.04.2021
GERRESHEIMER AG                ,A0LD6E.FFM,13.11.2020,23.04.2021
GERRESHEIMER AG                ,A0LD6E.ETR,13.11.2020,23.04.2021
GERRY WEBER INTERNAT.O.N.      ,330410.FFM,22.11.2019,01.01.2019
GERRY WEBER INTERNAT.O.N.      ,330410.ETR,31.10.2019,31.10.2019
GERRY WEBER INTL INH O.N.      ,A255G3.ETR,13.11.2020,23.04.2021
GERRY WEBER INTL INH O.N.      ,A255G3.FFM,13.11.2020,23.04.2021
GESCO AG NA O.N.               ,A1K020.FFM,13.11.2020,23.04.2021
GESCO AG NA O.N.               ,A1K020.ETR,13.11.2020,23.04.2021
GFT TECHNOLOGIES SE            ,580060.FFM,13.11.2020,23.04.2021
GFT TECHNOLOGIES SE            ,580060.ETR,13.11.2020,23.04.2021
GIGASET AG O.N.                ,515600.FFM,13.11.2020,23.04.2021
GIGASET AG O.N.                ,515600.ETR,13.11.2020,23.04.2021
GILEAD SCIENCES   DL-*001      ,885823.FFM,13.11.2020,23.04.2021
GILEAD SCIENCES   DL-*001      ,885823.ETR,13.11.2020,23.04.2021
GK SOFTWARE  INH O.N.          ,757142.FFM,13.11.2020,23.04.2021
GK SOFTWARE  INH O.N.          ,757142.ETR,13.11.2020,23.04.2021
GLAXOSMITHKLINE   LS-*25       ,940561.FFM,13.11.2020,23.04.2021
GLAXOSMITHKLINE   LS-*25       ,940561.ETR,13.11.2020,23.04.2021
GLOBAL FASHION GRP EO-*01      ,A2PLUG.FFM,13.11.2020,23.04.2021
GLOBAL FASHION GRP EO-*01      ,A2PLUG.ETR,13.11.2020,23.04.2021
GLOBAL PAYMENTS INC.           ,603111.ETR,15.01.2021,23.04.2021
GLOBAL PAYMENTS INC.           ,603111.FFM,15.01.2021,23.04.2021
GLU MOBILE INC. DL -*0001      ,A0MLUQ.ETR,13.11.2020,23.04.2021
GLU MOBILE INC. DL -*0001      ,A0MLUQ.FFM,13.11.2020,23.04.2021
GODEWIND IMMO.AG  NA NEUE      ,A28873.ETR,07.05.2020,07.05.2020
GODEWIND IMMO.AG  NA NEUE      ,A28873.FFM,19.06.2020,19.06.2020
GODEWIND IMMO.AG  NA O.N.      ,A2G8XX.ETR,14.05.2020,14.05.2020
GODEWIND IMMO.AG  NA O.N.      ,A2G8XX.FFM,19.06.2020,01.01.2019
GOING PUBLIC MEDIA NA ON       ,761210.FFM,13.11.2020,23.04.2021
GOING PUBLIC MEDIA NA ON       ,761210.ETR,13.11.2020,23.04.2021
GOLD RES CORP.    DL-*001      ,A0LCTL.ETR,13.11.2020,23.04.2021
GOLD RES CORP.    DL-*001      ,A0LCTL.FFM,13.11.2020,23.04.2021
GOLDCORP INC.                  ,890493.ETR,17.04.2019,17.04.2019
GOLDCORP INC.                  ,890493.FFM,17.05.2019,01.01.2019
GOLDEN MINERALS CO.DL-*01      ,A0X9LC.ETR,26.03.2021,23.04.2021
GOLDEN MINERALS CO.DL-*01      ,A0X9LC.FFM,26.03.2021,23.04.2021
GOLDMAN SACHS GRP INC.         ,920332.FFM,13.11.2020,23.04.2021
GOLDMAN SACHS GRP INC.         ,920332.ETR,13.11.2020,23.04.2021
GOODYEAR TIRE RUBBER           ,851204.FFM,13.11.2020,23.04.2021
GOODYEAR TIRE RUBBER           ,851204.ETR,13.11.2020,23.04.2021
GOPRO INC. A DL -*0001         ,A1XE7G.FFM,13.11.2020,23.04.2021
GOPRO INC. A DL -*0001         ,A1XE7G.ETR,13.11.2020,23.04.2021
GORE GERM.OFF.R.E. NA ON       ,A0Z26C.FFM,13.11.2020,23.04.2021
GORE GERM.OFF.R.E. NA ON       ,A0Z26C.ETR,13.11.2020,23.04.2021
GRAINGER (W.W.) INC. DL 1      ,857498.ETR,15.01.2021,23.04.2021
GRAINGER (W.W.) INC. DL 1      ,857498.FFM,15.01.2021,23.04.2021
GRAMMER AG O.N.                ,589540.FFM,13.11.2020,23.04.2021
GRAMMER AG O.N.                ,589540.ETR,13.11.2020,23.04.2021
GRAN TIERRA ENER. DL-*001      ,A0HNLY.ETR,26.03.2021,23.04.2021
GRAN TIERRA ENER. DL-*001      ,A0HNLY.FFM,26.03.2021,23.04.2021
GRAND CITY PROPERT.EO-*10      ,A1JXCV.FFM,13.11.2020,23.04.2021
GRAND CITY PROPERT.EO-*10      ,A1JXCV.ETR,13.11.2020,23.04.2021
GREEN BRICK PART.  DL-*01      ,A12EA8.ETR,16.02.2021,23.04.2021
GREEN BRICK PART.  DL-*01      ,A12EA8.FFM,16.02.2021,23.04.2021
GRENKE AG NA O.N.              ,A161N3.FFM,13.11.2020,23.04.2021
GRENKE AG NA O.N.              ,A161N3.ETR,13.11.2020,23.04.2021
GROUNDS R.EST. NA O.N.         ,A2GSVV.FFM,13.11.2020,23.04.2021
GROUNDS R.EST. NA O.N.         ,A2GSVV.ETR,13.11.2020,23.04.2021
GROUPON INC. DL-*0001          ,A1JMC2.ETR,10.06.2020,10.06.2020
GROUPON INC. DL-*0001          ,A1JMC2.FFM,19.06.2020,19.06.2020
GROUPON INC. DL-*0001          ,A2P6UE.FFM,13.11.2020,23.04.2021
GROUPON INC. DL-*0001          ,A2P6UE.ETR,13.11.2020,23.04.2021
GS ETF-GS A.CHI.G.BD DLDI      ,A2PPCG.FFM,22.11.2019,22.11.2019
GUARDANT HEALTH CL. A          ,A2N5RY.ETR,26.01.2021,23.04.2021
GUARDANT HEALTH CL. A          ,A2N5RY.FFM,27.01.2021,23.04.2021
GXP GERM.PROP.AG INH.O.N.      ,A2E4L0.ETR,13.11.2020,18.12.2020
GXP GERM.PROP.AG INH.O.N.      ,A2E4L0.FFM,13.11.2020,22.01.2021
H+R KGAA  INH. O.N.            ,A2E4T7.FFM,13.11.2020,23.04.2021
H+R KGAA  INH. O.N.            ,A2E4T7.ETR,13.11.2020,23.04.2021
HAEMATO AG  INH O.N.           ,A289VV.FFM,13.11.2020,23.04.2021
HAEMATO AG  INH O.N.           ,A289VV.ETR,13.11.2020,23.04.2021
HAEMATO AG O.N.                ,619070.ETR,01.09.2020,01.09.2020
HAEMATO AG O.N.                ,619070.FFM,30.09.2020,01.01.2019
HAIER SMART HOME CO.D YC1      ,A2JM2W.FFM,13.11.2020,23.04.2021
HAIER SMART HOME CO.D YC1      ,A2JM2W.ETR,13.11.2020,23.04.2021
HALLIBURTON CO.   DL 2*50      ,853986.ETR,13.11.2020,23.04.2021
HALLIBURTON CO.   DL 2*50      ,853986.FFM,13.11.2020,23.04.2021
HAMBORNER REIT AG NA O.N.      ,A3H233.ETR,16.02.2021,23.04.2021
HAMBORNER REIT AG NA O.N.      ,A3H233.FFM,16.02.2021,23.04.2021
HAMBORNER REIT AG O.N.         ,601300.ETR,13.11.2020,03.02.2021
HAMBURG.HAFEN LOG.A-SP NA      ,A0S848.FFM,13.11.2020,23.04.2021
HAMBURG.HAFEN LOG.A-SP NA      ,A0S848.ETR,13.11.2020,23.04.2021
HANESBRANDS INC.  DL -*01      ,A0KEQF.ETR,13.11.2020,23.04.2021
HANESBRANDS INC.  DL -*01      ,A0KEQF.FFM,13.11.2020,23.04.2021
HANETF-A.M.E.D. EOD            ,A2P4PH.FFM,30.09.2020,30.10.2020
HANETF-EM.EMI+E.EO ACC         ,A2JR0G.FFM,30.09.2020,30.10.2020
HANETF-EM.EMI+E.EO ACC.DZ      ,A2N5XA.FFM,07.02.2020,07.02.2020
HANETF-H-G IND.H.I. ACC        ,A2PE7K.FFM,17.05.2019,17.05.2019
HANETF-H-G IND.H.I. EOA        ,A2PFPC.FFM,30.09.2020,30.10.2020
HANETF-H-G.CL.TECH.EOA         ,A2JR0H.FFM,30.09.2020,30.10.2020
HANETF-H-G.IN.TECH.ACC.DZ      ,A2N5XE.FFM,27.12.2019,27.12.2019
HANETF-H-G.TEMEEQWE EOA        ,A2JR0J.FFM,30.09.2020,30.10.2020
HANETF-HAN-GI.CL.T.ACC.DZ      ,A2N5XC.FFM,07.02.2020,07.02.2020
HANNOVER RUECK SE NA O.N.      ,840221.FFM,13.11.2020,23.04.2021
HANNOVER RUECK SE NA O.N.      ,840221.ETR,13.11.2020,23.04.2021
HANSEYACHTS O.N.               ,A0KF6M.FFM,13.11.2020,23.04.2021
HANSEYACHTS O.N.               ,A0KF6M.ETR,13.11.2020,23.04.2021
HAPAG-LLOYD AG NA O.N.         ,HLAG47.FFM,13.11.2020,23.04.2021
HAPAG-LLOYD AG NA O.N.         ,HLAG47.ETR,13.11.2020,23.04.2021
HARLEY-DAVID.INC. DL -*01      ,871394.FFM,13.11.2020,23.04.2021
HARLEY-DAVID.INC. DL -*01      ,871394.ETR,13.11.2020,23.04.2021
HARTFORD FINL SVCS GRP         ,898521.FFM,13.11.2020,23.04.2021
HARTFORD FINL SVCS GRP         ,898521.ETR,13.11.2020,23.04.2021
HASBRO INC.        DL-*50      ,859888.ETR,15.01.2021,23.04.2021
HASBRO INC.        DL-*50      ,859888.FFM,15.01.2021,23.04.2021
HAWESKO HOLDING  INH O.N.      ,604270.FFM,13.11.2020,23.04.2021
HAWESKO HOLDING  INH O.N.      ,604270.ETR,13.11.2020,23.04.2021
HEALTHPEAK PROP.INC. DL 1      ,A2N5NP.FFM,15.01.2021,23.04.2021
HEALTHPEAK PROP.INC. DL 1      ,A2N5NP.ETR,15.01.2021,22.03.2021
HECLA MNG          DL-*25      ,854693.FFM,13.11.2020,23.04.2021
