share_name                     ,number,first_date,last_date
                               ,908101.FFM,04.01.2019,01.01.2019
                               ,A2H5JL.FFM,07.02.2020,07.02.2020
                               ,A3H22F.FFM,07.12.2020,22.01.2021
                               ,A1H6VM.FFM,13.11.2020,22.01.2021
                               ,675700.FFM,13.11.2020,22.01.2021
                               ,A0D88T.FFM,13.11.2020,22.01.2021
                               ,A28882.FFM,13.11.2020,22.01.2021
                               ,A2LQ90.FFM,13.11.2020,22.01.2021
                               ,A12UKK.FFM,13.11.2020,22.01.2021
                               ,856090.FFM,13.11.2020,22.01.2021
                               ,866405.FFM,13.11.2020,23.04.2021
                               ,A2QE55.FFM,13.11.2020,23.04.2021
                               ,601300.FFM,13.11.2020,23.04.2021
                               ,BFB0V2.FFM,13.11.2020,23.04.2021
                               ,A1JQVM.FFM,13.11.2020,23.04.2021
                               ,A0MRUV.FFM,15.01.2021,23.04.2021
                               ,857530.FFM,15.01.2021,23.04.2021
                               ,909304.FFM,15.01.2021,23.04.2021
                               ,TUAG10.FFM,15.01.2021,23.04.2021
                               ,A2N7NF.FFM,15.02.2019,15.02.2019
                               ,A1T9FK.FFM,21.08.2020,21.08.2020
                               ,A25426.FFM,21.08.2020,21.08.2020
                               ,A289AV.FFM,21.08.2020,21.08.2020
                               ,A3H23R.FFM,27.01.2021,23.04.2021
                               ,A1W0TN.FFM,30.09.2020,22.01.2021
                               ,A254U8.FFM,30.09.2020,30.10.2020
                               ,A289AA.FFM,30.09.2020,30.10.2020
1+1 DRILLISCH AG O.N.          ,554550.FFM,13.11.2020,23.04.2021
1+1 DRILLISCH AG O.N.          ,554550.ETR,13.11.2020,23.04.2021
11 88 0 SOLUTIONS AG           ,511880.FFM,13.11.2020,23.04.2021
11 88 0 SOLUTIONS AG           ,511880.ETR,13.11.2020,23.04.2021
2G ENERGY AG                   ,A0HL8N.FFM,13.11.2020,23.04.2021
2G ENERGY AG                   ,A0HL8N.ETR,13.11.2020,23.04.2021
2INVEST AG  NA O.N.            ,A3H3L4.ETR,26.03.2021,23.04.2021
2INVEST AG  NA O.N.            ,A3H3L4.FFM,26.03.2021,23.04.2021
3 D SYS CORP.     DL-*001      ,888346.FFM,13.11.2020,23.04.2021
3 D SYS CORP.     DL-*001      ,888346.ETR,13.11.2020,23.04.2021
3M CO.             DL-*01      ,851745.FFM,13.11.2020,23.04.2021
3M CO.             DL-*01      ,851745.ETR,13.11.2020,23.04.2021
3U HOLDING AG                  ,516790.FFM,13.11.2020,23.04.2021
3U HOLDING AG                  ,516790.ETR,13.11.2020,23.04.2021
4BASEBIO AG  NA O.N.           ,A2YN80.FFM,13.11.2020,23.04.2021
4BASEBIO AG  NA O.N.           ,A2YN80.ETR,13.11.2020,26.02.2021
4SC AG                         ,A14KL7.FFM,13.11.2020,23.04.2021
4SC AG                         ,A14KL7.ETR,13.11.2020,23.04.2021
7C SOLARPARKEN AG  O.N.        ,A11QW6.FFM,13.11.2020,23.04.2021
7C SOLARPARKEN AG  O.N.        ,A11QW6.ETR,13.11.2020,23.04.2021
A-A.I.US C. UCITSDLA           ,A2JH17.FFM,27.12.2019,27.12.2019
A.-A.I.E.G.M.S.A.S.B.UEDI      ,A2DR4K.FFM,07.02.2020,07.02.2020
A.P.MOELL.-M.NAM B DK1000      ,861837.ETR,18.08.2020,18.08.2020
A.P.MOELL.-M.NAM B DK1000      ,861837.FFM,30.09.2020,30.10.2020
A.S.CREATION TAPETEN NA        ,A1TNNN.FFM,13.11.2020,23.04.2021
A.S.CREATION TAPETEN NA        ,A1TNNN.ETR,13.11.2020,23.04.2021
A.SPRINGER SE  Z.VERK.         ,A2YPGA.ETR,10.12.2019,10.12.2019
A.SPRINGER SE  Z.VERK.         ,A2YPGA.FFM,27.12.2019,27.12.2019
A.SPRINGER SE VNA              ,550135.ETR,06.04.2020,06.04.2020
A.SPRINGER SE VNA              ,550135.FFM,08.05.2020,01.01.2019
AAP IMPLANTATE AG              ,506660.FFM,13.11.2020,22.01.2021
AAP IMPLANTATE AG              ,506660.ETR,30.09.2020,28.10.2020
AAP IMPLANTATE AG O.N.         ,A3H210.FFM,13.11.2020,23.04.2021
AAP IMPLANTATE AG O.N.         ,A3H210.ETR,13.11.2020,23.04.2021
AAREAL BANK AG                 ,540811.FFM,13.11.2020,23.04.2021
AAREAL BANK AG                 ,540811.ETR,13.11.2020,23.04.2021
ABB LTD. NA     SF 0*12        ,919730.FFM,09.08.2019,01.01.2019
ABB LTD. NA     SF 0*12        ,919730.ETR,28.06.2019,28.06.2019
ABBOTT LABS                    ,850103.FFM,13.11.2020,23.04.2021
ABBOTT LABS                    ,850103.ETR,13.11.2020,23.04.2021
ABBVIE INC.        DL-*01      ,A1J84E.FFM,13.11.2020,23.04.2021
ABBVIE INC.        DL-*01      ,A1J84E.ETR,13.11.2020,23.04.2021
ABERCROMBIE + FITCH A          ,903016.FFM,13.11.2020,23.04.2021
ABERCROMBIE + FITCH A          ,903016.ETR,13.11.2020,23.04.2021
ABO WIND AG O.N.               ,576002.FFM,13.11.2020,23.04.2021
ABO WIND AG O.N.               ,576002.ETR,13.11.2020,23.04.2021
ACCELL GRP NV CVA  EO-*01      ,A1JADL.ETR,13.11.2020,23.04.2021
ACCELL GRP NV CVA  EO-*01      ,A1JADL.FFM,13.11.2020,23.04.2021
ACCENTRO R.EST.AG  O.N.        ,A0KFKB.ETR,13.11.2020,23.04.2021
ACCENTRO R.EST.AG  O.N.        ,A0KFKB.FFM,13.11.2020,23.04.2021
ACTIVISION BLIZZARD INC.       ,A0Q4K4.FFM,13.11.2020,23.04.2021
ACTIVISION BLIZZARD INC.       ,A0Q4K4.ETR,13.11.2020,23.04.2021
AD PEPPER MEDIA   EO 0*05      ,940883.FFM,13.11.2020,23.04.2021
AD PEPPER MEDIA   EO 0*05      ,940883.ETR,13.11.2020,23.04.2021
AD.BIOTECH.CORP. DL-*0001      ,A2PLR5.FFM,13.11.2020,23.04.2021
AD.BIOTECH.CORP. DL-*0001      ,A2PLR5.ETR,13.11.2020,23.04.2021
ADESSO SE  INH O.N.            ,A0Z23Q.FFM,13.11.2020,23.04.2021
ADESSO SE  INH O.N.            ,A0Z23Q.ETR,13.11.2020,23.04.2021
ADIDAS AG NA O.N.              ,A1EWWW.FFM,13.11.2020,23.04.2021
ADIDAS AG NA O.N.              ,A1EWWW.ETR,13.11.2020,23.04.2021
ADIENT PLC        DL-*001      ,A2AT0H.ETR,27.01.2021,23.04.2021
ADIENT PLC        DL-*001      ,A2AT0H.FFM,27.01.2021,23.04.2021
ADLER GROUP S.A. NPV           ,A14U78.FFM,13.11.2020,23.04.2021
ADLER GROUP S.A. NPV           ,A14U78.ETR,13.11.2020,23.04.2021
ADLER MODEMAERKTE AG O.N.      ,A1H8MU.FFM,13.11.2020,23.04.2021
ADLER MODEMAERKTE AG O.N.      ,A1H8MU.ETR,13.11.2020,22.03.2021
ADLER REAL EST. Z.UMT.JGE      ,A2888D.FFM,08.05.2020,08.05.2020
ADLER REAL EST. Z.UMT.JGE      ,A2888D.ETR,30.03.2020,30.03.2020
ADLER REAL ESTATE AG           ,500800.FFM,13.11.2020,23.04.2021
ADLER REAL ESTATE AG           ,500800.ETR,13.11.2020,23.04.2021
ADLER REAL ESTATE AG NEUE      ,A254W7.ETR,13.11.2020,15.12.2020
ADLER REAL ESTATE AG NEUE      ,A254W7.FFM,30.10.2020,22.01.2021
ADLER REAL ESTATE Z.UMT.       ,A254V2.FFM,08.05.2020,08.05.2020
ADLER REAL ESTATE Z.UMT.       ,A254V2.ETR,30.03.2020,30.03.2020
ADM ENERGY PLC     LS-*01      ,A2PLC1.ETR,13.11.2020,23.04.2021
ADM ENERGY PLC     LS-*01      ,A2PLC1.FFM,13.11.2020,23.04.2021
ADO PROPERTIES S.A. -ANR-      ,A2P8BW.ETR,16.07.2020,16.07.2020
ADO PROPERTIES S.A. -ANR-      ,A2P8BW.FFM,21.08.2020,21.08.2020
ADOBE INC.                     ,871981.FFM,13.11.2020,23.04.2021
ADOBE INC.                     ,871981.ETR,13.11.2020,23.04.2021
ADV.BLOCKCHAIN AG INH ON       ,A0M93V.FFM,13.11.2020,23.04.2021
ADV.BLOCKCHAIN AG INH ON       ,A0M93V.ETR,13.11.2020,23.04.2021
ADVA OPT.NETW.SE  O.N.         ,510300.FFM,13.11.2020,23.04.2021
ADVA OPT.NETW.SE  O.N.         ,510300.ETR,13.11.2020,23.04.2021
ADVANCED MIC.DEV.  DL-*01      ,863186.FFM,13.11.2020,23.04.2021
ADVANCED MIC.DEV.  DL-*01      ,863186.ETR,13.11.2020,23.04.2021
ADYEN N.V.         EO-*01      ,A2JNF4.FFM,13.11.2020,23.04.2021
ADYEN N.V.         EO-*01      ,A2JNF4.ETR,13.11.2020,23.04.2021
AEGON NV (DEMAT.)   EO-12      ,A0JL2Y.FFM,13.11.2020,23.04.2021
AEGON NV (DEMAT.)   EO-12      ,A0JL2Y.ETR,13.11.2020,23.04.2021
AEGON NV EO 0*12 NY REG.1      ,873131.ETR,13.11.2020,22.03.2021
AEGON NV EO 0*12 NY REG.1      ,873131.FFM,13.11.2020,23.04.2021
AES CORP.          DL-*01      ,882177.FFM,13.11.2020,23.04.2021
AES CORP.          DL-*01      ,882177.ETR,13.11.2020,23.04.2021
AFLAC INC.        DL -*10      ,853081.ETR,15.01.2021,23.04.2021
AFLAC INC.        DL -*10      ,853081.FFM,15.01.2021,23.04.2021
AGCO CORP.         DL-*01      ,888282.ETR,13.11.2020,23.04.2021
AGCO CORP.         DL-*01      ,888282.FFM,13.11.2020,23.04.2021
AGNC INV.CORP.    DL-*001      ,A2AR58.ETR,15.01.2021,22.03.2021
AGNC INV.CORP.    DL-*001      ,A2AR58.FFM,15.01.2021,23.04.2021
AGRANA BET.AG INH.             ,A2NB37.FFM,13.11.2020,23.04.2021
AGRANA BET.AG INH.             ,A2NB37.ETR,13.11.2020,23.04.2021
AGRARIUS AG   INH. O.N.        ,A2BPL9.FFM,13.11.2020,23.04.2021
AGRARIUS AG   INH. O.N.        ,A2BPL9.ETR,13.11.2020,23.04.2021
AHOLD DELHAIZE*KON.EO-*01      ,A2ANT0.FFM,13.11.2020,23.04.2021
AHOLD DELHAIZE*KON.EO-*01      ,A2ANT0.ETR,13.11.2020,23.04.2021
AIFINYO AG  INH O.N.           ,A2G8XP.ETR,13.11.2020,23.04.2021
AIFINYO AG  INH O.N.           ,A2G8XP.FFM,13.11.2020,23.04.2021
AIR LIQUIDE INH. EO 5*50       ,850133.FFM,13.11.2020,23.04.2021
AIR LIQUIDE INH. EO 5*50       ,850133.ETR,13.11.2020,23.04.2021
AIR PROD. CHEM.      DL 1      ,854912.ETR,15.01.2021,23.04.2021
AIR PROD. CHEM.      DL 1      ,854912.FFM,15.01.2021,23.04.2021
AIRBNB INC.     DL-*01         ,A2QG35.FFM,23.12.2020,23.04.2021
AIRBNB INC.     DL-*01         ,A2QG35.ETR,23.12.2020,23.04.2021
AIRBUS                         ,938914.FFM,13.11.2020,23.04.2021
AIRBUS                         ,938914.ETR,13.11.2020,23.04.2021
AIS-A.I.BA.G.A.500M UEDED      ,A2H9Q6.FFM,22.11.2019,22.11.2019
AIS-A.I.MSCI EUR.UC.ETFDD      ,A2H9QZ.FFM,22.11.2019,22.11.2019
AIS-A.I.MSCI JAP.UETFDREO      ,A2DR4P.FFM,22.11.2019,22.11.2019
AIS-A.I.MSCI N.AM.UCETFDD      ,A2H9Q2.FFM,07.02.2020,07.02.2020
AIS-A.MSCI EESGLS UETFDRC      ,A2PZDA.FFM,21.08.2020,21.08.2020
AIS-A.MSCI EESGLS UETFDRC      ,A2PZDB.FFM,21.08.2020,21.08.2020
AIS-A.MSCI EMESGUS ETFDRC      ,A2PZC7.FFM,21.08.2020,21.08.2020
AIS-A.MSCI EUESGUS ETFDRC      ,A2PZC6.FFM,21.08.2020,21.08.2020
AIS-A.MSCI UESGLS UETFDRC      ,A2PZC9.FFM,21.08.2020,21.08.2020
AIS-A.MSCI USA M.V.F.UEDL      ,A2DN3T.FFM,22.11.2019,22.11.2019
AIS-A.MSCI WESGUS UETFDRC      ,A2PZC3.FFM,21.08.2020,21.08.2020
AIS-A.MSCI WESGUS UETFDRC      ,A2PZC8.FFM,21.08.2020,21.08.2020
AIS-A.MSCIUSAESGUS ETFDRC      ,A2PZC4.FFM,21.08.2020,21.08.2020
AIS-A.US.E.M.S.A.S.B.UEDL      ,A2DN3U.FFM,27.12.2019,27.12.2019
AIS-AM.E.C.EX.FI.I. EOC        ,A2H58N.FFM,07.02.2020,07.02.2020
AIS-AM.EUR.STX50 EOC           ,A2H59L.FFM,07.02.2020,07.02.2020
AIS-AM.EUR.STX50 EOD           ,A2H59M.FFM,07.02.2020,07.02.2020
AIS-AM.FL.RA.DL.CO. DLC        ,A2H59C.FFM,07.02.2020,07.02.2020
AIS-AM.FTSE EPRAEORE EOC       ,A2H58A.FFM,27.12.2019,27.12.2019
AIS-AM.G.H.E.B.I.G. EOC        ,A2H58G.FFM,22.11.2019,22.11.2019
AIS-AM.MSCI EM L.A.EOC         ,A2H58P.FFM,07.02.2020,07.02.2020
AIS-AM.MSCI IND.EOC            ,A2H57G.FFM,27.12.2019,27.12.2019
AIS-AM.MSCI SWITZ. EOC         ,A2H57A.FFM,22.11.2019,22.11.2019
AIS-AM.MSCI USA EOC            ,A2H57D.FFM,07.02.2020,07.02.2020
AIS-AM.MSCI WLD E.EOC          ,A2H57Y.FFM,07.02.2020,07.02.2020
AIS-AM.MSCI WLD FIN.EOC        ,A2H570.FFM,22.11.2019,22.11.2019
AIS-AM.S+P G.L.EOC             ,A2H564.FFM,07.02.2020,07.02.2020
AIS-AM.S+P500 BB EOC           ,A2H562.FFM,27.12.2019,27.12.2019
AIS-AMUNDIMEMUSRI UETFDRC      ,A2PZDC.FFM,21.08.2020,21.08.2020
AIS-MSCI E.M. DR ADLA          ,A2JSDD.FFM,27.12.2019,27.12.2019
AIS-MSCI EA.EU.EX.RUS.EOC      ,A2H57L.FFM,22.11.2019,22.11.2019
AIS-P.U.T.B.0-1 ETF DRDLA      ,A2P6TS.FFM,30.09.2020,30.10.2020
AIS-P.U.T.B.0-1 ETF HDGEO      ,A2P6TT.FFM,30.09.2020,30.10.2020
AIXTRON SE NA O.N.             ,A0WMPJ.FFM,13.11.2020,23.04.2021
AIXTRON SE NA O.N.             ,A0WMPJ.ETR,13.11.2020,23.04.2021
AIXTRON SE NA O.N.  NEUE       ,A2TSNX.FFM,21.06.2019,21.06.2019
AIXTRON SE NA O.N. NEUE        ,A3H3MC.ETR,26.03.2021,23.04.2021
AIXTRON SE NA O.N. NEUE        ,A3H3MC.FFM,26.03.2021,23.04.2021
AIXTRON SE NA O.N. NEUE        ,A25422.FFM,19.06.2020,19.06.2020
AKAMAI TECH.       DL-*01      ,928906.FFM,13.11.2020,23.04.2021
AKAMAI TECH.       DL-*01      ,928906.ETR,13.11.2020,23.04.2021
AKASOL AG  INH. O.N.           ,A2JNWZ.FFM,13.11.2020,23.04.2021
AKASOL AG  INH. O.N.           ,A2JNWZ.ETR,13.11.2020,23.04.2021
AKASOL AG  INH. Z.VERK.        ,A3H3MM.ETR,23.04.2021,23.04.2021
AKASOL AG  INH. Z.VERK.        ,A3H3MM.FFM,23.04.2021,23.04.2021
ALADDIN HLTHC.TECH. O.N.       ,A12ULL.FFM,13.11.2020,23.04.2021
ALADDIN HLTHC.TECH. O.N.       ,A12ULL.ETR,13.11.2020,23.04.2021
ALBEMARLE CORP.    DL-*01      ,890167.ETR,15.01.2021,23.04.2021
ALBEMARLE CORP.    DL-*01      ,890167.FFM,15.01.2021,23.04.2021
ALBERTSONS COS INC.DL-001      ,A14YJM.ETR,26.01.2021,23.04.2021
ALBERTSONS COS INC.DL-001      ,A14YJM.FFM,27.01.2021,23.04.2021
ALBIS LEASING AG O.N.          ,656940.FFM,13.11.2020,23.04.2021
ALBIS LEASING AG O.N.          ,656940.ETR,13.11.2020,23.04.2021
ALCOA CORP. O.N.               ,A2ASZ7.FFM,13.11.2020,23.04.2021
ALCOA CORP. O.N.               ,A2ASZ7.ETR,13.11.2020,23.04.2021
ALCON AG  NAM. SF -*04         ,A2PDXE.FFM,11.10.2019,11.10.2019
ALCON AG  NAM. SF -*04         ,A2PDXE.ETR,28.06.2019,28.06.2019
ALEXION PHARMAC. DL-*0001      ,899527.FFM,13.11.2020,23.04.2021
ALEXION PHARMAC. DL-*0001      ,899527.ETR,13.11.2020,23.04.2021
ALFEN N.V. EO -*10             ,A2JGMQ.ETR,26.03.2021,23.04.2021
ALFEN N.V. EO -*10             ,A2JGMQ.FFM,26.03.2021,23.04.2021
ALIBABA GR.HLDG SP.ADR 8       ,A117ME.FFM,13.11.2020,23.04.2021
ALIBABA GR.HLDG SP.ADR 8       ,A117ME.ETR,13.11.2020,23.04.2021
ALIGN TECHNOLOGY DL-*0001      ,590375.ETR,15.01.2021,23.04.2021
ALIGN TECHNOLOGY DL-*0001      ,590375.FFM,15.01.2021,23.04.2021
ALL FOR ONE GROUP NA O.N.      ,511000.FFM,13.11.2020,23.04.2021
ALL FOR ONE GROUP NA O.N.      ,511000.ETR,13.11.2020,23.04.2021
ALLEGHENY TECHNOL. DL-*01      ,931083.ETR,27.01.2021,23.04.2021
ALLEGHENY TECHNOL. DL-*01      ,931083.FFM,27.01.2021,23.04.2021
ALLGEIER SE  NA O.N.           ,A2GS63.FFM,13.11.2020,23.04.2021
ALLGEIER SE  NA O.N.           ,A2GS63.ETR,13.11.2020,23.04.2021
ALLGEIER SE  NA O.N. NEUE      ,A2YNUT.FFM,09.08.2019,09.08.2019
ALLGEIER SE  NA O.N. NEUE      ,A2YNUT.ETR,28.06.2019,28.06.2019
ALLIANZ SE NA O.N.             ,840400.FFM,13.11.2020,23.04.2021
ALLIANZ SE NA O.N.             ,840400.ETR,13.11.2020,23.04.2021
ALLIANZ SE NA O.N. NEUE        ,A3H23N.ETR,15.01.2021,23.04.2021
ALLIANZ SE NA O.N. NEUE        ,A3H23N.FFM,15.01.2021,23.04.2021
ALLIANZ SE NA O.N. NEUE        ,A2TSRL.ETR,10.01.2019,10.01.2019
ALLIANZ SE NA O.N. NEUE        ,A2TSRL.FFM,17.05.2019,17.05.2019
ALLIANZ SE NA O.N.NEUE         ,A254VC.FFM,19.06.2020,19.06.2020
ALLSTATE CORP.     DL-*01      ,886429.FFM,13.11.2020,23.04.2021
ALLSTATE CORP.     DL-*01      ,886429.ETR,13.11.2020,23.04.2021
ALLY FINANCIAL INC.DL-*10      ,A1W2MF.ETR,15.01.2021,23.04.2021
ALLY FINANCIAL INC.DL-*10      ,A1W2MF.FFM,15.01.2021,23.04.2021
ALMONTY INDUSTRIES INC.        ,A1JSSD.ETR,13.11.2020,23.04.2021
ALMONTY INDUSTRIES INC.        ,A1JSSD.FFM,13.11.2020,23.04.2021
ALNYLAM PHARMACE.DL-*0001      ,A0CBCK.FFM,13.11.2020,23.04.2021
ALNYLAM PHARMACE.DL-*0001      ,A0CBCK.ETR,13.11.2020,23.04.2021
ALPHABET INC.CL C DL-*001      ,A14Y6H.FFM,13.11.2020,23.04.2021
ALPHABET INC.CL C DL-*001      ,A14Y6H.ETR,13.11.2020,23.04.2021
ALPHABET INC.CL.A DL-*001      ,A14Y6F.FFM,13.11.2020,23.04.2021
ALPHABET INC.CL.A DL-*001      ,A14Y6F.ETR,13.11.2020,23.04.2021
ALSTOM S.A. INH.     EO 7      ,A0F7BK.FFM,13.11.2020,23.04.2021
ALSTOM S.A. INH.     EO 7      ,A0F7BK.ETR,13.11.2020,23.04.2021
ALSTRIA OFFICE REIT NEUE       ,A289VE.FFM,30.09.2020,30.10.2020
ALSTRIA OFFICE REIT-AG         ,A0LD2U.FFM,13.11.2020,23.04.2021
ALSTRIA OFFICE REIT-AG         ,A0LD2U.ETR,13.11.2020,23.04.2021
ALTABA INC.                    ,A2DSZX.ETR,01.10.2019,01.10.2019
ALTABA INC.                    ,A2DSZX.FFM,11.10.2019,01.01.2019
ALTERYX INC. A DL-*0001        ,A2DME9.ETR,15.01.2021,23.04.2021
ALTERYX INC. A DL-*0001        ,A2DME9.FFM,15.01.2021,23.04.2021
ALTRA INDL MOTION DL-*001      ,A0LGD8.ETR,26.01.2021,23.04.2021
ALTRA INDL MOTION DL-*001      ,A0LGD8.FFM,27.01.2021,23.04.2021
ALTRIA GRP INC.   DL-*333      ,200417.FFM,13.11.2020,23.04.2021
ALTRIA GRP INC.   DL-*333      ,200417.ETR,13.11.2020,23.04.2021
ALZCHEM GROUP AG INH O.N.      ,A2YNT3.FFM,13.11.2020,23.04.2021
ALZCHEM GROUP AG INH O.N.      ,A2YNT3.ETR,13.11.2020,23.04.2021
ALZCHEM GROUP AG INH. ON       ,A0AHT4.FFM,09.08.2019,01.01.2019
ALZCHEM GROUP AG INH. ON       ,A0AHT4.ETR,28.06.2019,28.06.2019
AM.ETF G.BD EMTS B.IG 1-3      ,A0RNV6.FFM,07.02.2020,07.02.2020
AM.ETF S.G.B.EOM.B.I.G.D.      ,A0YF8M.FFM,22.11.2019,22.11.2019
AMADEUS FIRE AG                ,509310.FFM,13.11.2020,23.04.2021
AMADEUS FIRE AG                ,509310.ETR,13.11.2020,23.04.2021
AMAG AUSTRIA METALL INH.       ,A1JFYU.FFM,19.04.2019,01.01.2019
AMAG AUSTRIA METALL INH.       ,A1JFYU.ETR,21.03.2019,21.03.2019
AMALPHI AG                     ,813135.ETR,02.02.2021,23.04.2021
AMALPHI AG                     ,813135.FFM,02.02.2021,23.04.2021
AMAZON.COM INC.    DL-*01      ,906866.FFM,13.11.2020,23.04.2021
AMAZON.COM INC.    DL-*01      ,906866.ETR,13.11.2020,23.04.2021
AMC ENTERTAINMENT HLDGS A      ,A1W90H.ETR,23.04.2021,23.04.2021
AMC ENTERTAINMENT HLDGS A      ,A1W90H.FFM,23.04.2021,23.04.2021
AMER. EL. PWR     DL 6*50      ,850222.ETR,13.11.2020,23.04.2021
AMER. EL. PWR     DL 6*50      ,850222.FFM,13.11.2020,23.04.2021
AMER. EXPRESS     DL -*20      ,850226.FFM,13.11.2020,23.04.2021
AMER. EXPRESS     DL -*20      ,850226.ETR,13.11.2020,23.04.2021
AMER.INTL GRP NEW DL 2*50      ,A0X88Z.FFM,13.11.2020,23.04.2021
AMER.INTL GRP NEW DL 2*50      ,A0X88Z.ETR,13.11.2020,23.04.2021
AMEREN CORP.       DL-*01      ,911535.ETR,15.01.2021,23.04.2021
AMEREN CORP.       DL-*01      ,911535.FFM,15.01.2021,23.04.2021
AMERICAN AIRLINES GRP          ,A1W97M.FFM,13.11.2020,23.04.2021
AMERICAN AIRLINES GRP          ,A1W97M.ETR,13.11.2020,23.04.2021
AMERICAN TOWER DL -*01         ,A1JRLA.ETR,15.01.2021,22.03.2021
AMERICAN TOWER DL -*01         ,A1JRLA.FFM,15.01.2021,23.04.2021
AMERICAN WATER WKS DL-*01      ,A0NJ38.FFM,13.11.2020,23.04.2021
AMERICAN WATER WKS DL-*01      ,A0NJ38.ETR,13.11.2020,23.04.2021
AMERICOLD RLTY TR. DL-*01      ,A0Q9XQ.ETR,15.01.2021,22.03.2021
AMERICOLD RLTY TR. DL-*01      ,A0Q9XQ.FFM,15.01.2021,23.04.2021
AMERIPRISE FINL    DL-*01      ,A0F55S.ETR,13.11.2020,23.04.2021
AMERIPRISE FINL    DL-*01      ,A0F55S.FFM,13.11.2020,23.04.2021
AMERISOURCEBERGEN  DL-*01      ,766149.ETR,15.01.2021,23.04.2021
AMERISOURCEBERGEN  DL-*01      ,766149.FFM,15.01.2021,23.04.2021
AMETEK INC.        DL-*01      ,908668.ETR,15.01.2021,23.04.2021
AMETEK INC.        DL-*01      ,908668.FFM,15.01.2021,23.04.2021
AMGEN INC.       DL-*0001      ,867900.FFM,13.11.2020,23.04.2021
AMGEN INC.       DL-*0001      ,867900.ETR,13.11.2020,23.04.2021
AMPHENOL CORP.  A DL-*001      ,882749.ETR,15.01.2021,23.04.2021
AMPHENOL CORP.  A DL-*001      ,882749.FFM,15.01.2021,23.04.2021
AMS AG                         ,A118Z8.FFM,13.11.2020,23.04.2021
AMS AG                         ,A118Z8.ETR,13.11.2020,23.04.2021
AMUN.IS-A.P.US CO.UEDRDLA      ,A2PWMS.FFM,30.09.2020,30.10.2020
AMUND.I.S.-A.PR.USA DLACC      ,A2PWMM.FFM,20.03.2020,20.03.2020
AMUNDI ETF DAX U.ETF DR        ,A0REJQ.FFM,27.12.2019,27.12.2019
AMUNDI ETF EO INFLATION        ,A0RNWD.FFM,27.12.2019,27.12.2019
AMUNDI ETF EU. DISC.           ,A0REJ0.FFM,27.12.2019,27.12.2019
AMUNDI ETF EUROSTOXX S.C.      ,A1C0B9.FFM,27.12.2019,27.12.2019
AMUNDI ETF MSCI EU X EMU       ,A0YF2V.FFM,27.12.2019,27.12.2019
AMUNDI ETF MSCI EU.BU.ETF      ,A14V4W.FFM,27.12.2019,27.12.2019
AMUNDI ETF MSCI EU.CO.SE.      ,A0RF46.FFM,22.11.2019,22.11.2019
AMUNDI ETF MSCI EUR.BKS        ,A0REJZ.FFM,07.02.2020,07.02.2020
AMUNDI ETF MSCI EUR.ENER.      ,A1C7AK.FFM,27.12.2019,27.12.2019
AMUNDI ETF MSCI SPAIN          ,A0REJT.FFM,27.12.2019,27.12.2019
AMUNDI ETF STOXX EURO.50       ,A0X9QJ.FFM,07.02.2020,07.02.2020
AMUNDI I.S.-A.P.EO COR.DR      ,A2PBLN.FFM,19.04.2019,19.04.2019
AMUNDI I.S.-A.P.EO COR.EA      ,A2PWMN.FFM,20.03.2020,20.03.2020
AMUNDI I.S.-A.P.US T.DRDA      ,A2PWMR.FFM,20.03.2020,20.03.2020
AMUNDI I.S.-A.P.US T.DRDL      ,A2PBLR.FFM,19.04.2019,19.04.2019
AMUNDI I.S.-A.PR.E.G.DREA      ,A2PWMP.FFM,20.03.2020,20.03.2020
AMUNDI I.S.-A.PR.E.G.DREO      ,A2PBLP.FFM,17.05.2019,17.05.2019
AMUNDI I.S.-A.PR.EUR.DREA      ,A2PWMJ.FFM,19.06.2020,19.06.2020
AMUNDI I.S.-A.PR.EUR.DREA      ,A2PWMH.FFM,20.03.2020,20.03.2020
AMUNDI I.S.-A.PR.EUR.DREO      ,A2PBLF.FFM,15.03.2019,15.03.2019
AMUNDI I.S.-A.PR.EUR.DREO      ,A2PBLH.FFM,19.04.2019,19.04.2019
AMUNDI I.S.-A.PR.G.G.DREA      ,A2PWMQ.FFM,19.06.2020,19.06.2020
AMUNDI I.S.-A.PR.G.G.DREO      ,A2PBLQ.FFM,19.04.2019,19.04.2019
AMUNDI I.S.-A.PR.JAP.DRYA      ,A2PWML.FFM,20.03.2020,20.03.2020
AMUNDI I.S.-A.PR.JAP.DRYN      ,A2PBLK.FFM,19.04.2019,19.04.2019
AMUNDI I.S.-A.PR.USA DRDL      ,A2PBLL.FFM,19.04.2019,19.04.2019
AMUNDI I.S.-A.PRI.GL.DRDA      ,A2PWMK.FFM,20.03.2020,20.03.2020
AMUNDI I.S.-A.PRI.GL.DRDL      ,A2PBLJ.FFM,15.03.2019,15.03.2019
ANALOG DEVICES INC.DL-166      ,862485.ETR,13.11.2020,23.04.2021
ANALOG DEVICES INC.DL-166      ,862485.FFM,13.11.2020,23.04.2021
ANDRITZ AG                     ,632305.FFM,13.11.2020,23.04.2021
ANDRITZ AG                     ,632305.ETR,13.11.2020,23.04.2021
ANGLO AMERICAN DL-*54945       ,A0MUKL.FFM,13.11.2020,23.04.2021
ANGLO AMERICAN DL-*54945       ,A0MUKL.ETR,13.11.2020,23.04.2021
ANGLO AMERICAN SP.ADR 1/2      ,A143BR.FFM,13.11.2020,23.04.2021
